anchor,positive,negative
"def maxAverageOfPath(cost):
  N = len(cost)
  dp = [[0 for i in range(N + 1)] for j in range(N + 1)]
  dp[0][0] = cost[0][0]
  for i in range(1, N):
    dp[i][0] = dp[i - 1][0] + cost[i][0]
  for j in range(1, N):
    dp[0][j] = dp[0][j - 1] + cost[0][j]
  for i in range(1, N):
    for j in range(1, N):
      dp[i][j] = max(dp[i - 1][j],
                     dp[i][j - 1]) + cost[i][j]
  return dp[N - 1][N - 1] / (2 * N - 1)","def var1(cost):
    var2 = len(var3)
    var4 = [[(0) for var5 in range(var2 + 1)] for var6 in range(var2 + 1)]
    var4[0][0] = var3[0][0]
    for var5 in range(1, var2):
        var4[var5][0] = var4[var5 - 1][0] + var3[var5][0]
    for var6 in range(1, var2):
        var4[0][var6] = var4[0][var6 - 1] + var3[0][var6]
    for var5 in range(1, var2):
        for var6 in range(1, var2):
            var4[var5][var6] = max(var4[var5 - 1][var6], var4[var5][var6 - 1]
                ) + var3[var5][var6]
    return var4[var2 - 1][var2 - 1] / (2 * var2 - 1)
","from typing import List, Tuple

def find_closest_elements(numbers: List[float]) -> Tuple[float, float]:
    closest_pair = None
    distance = None

    for idx, elem in enumerate(numbers):
        for idx2, elem2 in enumerate(numbers):
            if idx != idx2:
                if distance is None:
                    distance = abs(elem - elem2)
                    closest_pair = tuple(sorted([elem, elem2]))
                else:
                    new_distance = abs(elem - elem2)
                    if new_distance < distance:
                        distance = new_distance
                        closest_pair = tuple(sorted([elem, elem2]))

    return closest_pair"
"def correct_bracketing(brackets: str):
    depth = 0
    for b in brackets:
        if b == ""<"":
            depth += 1
        else:
            depth -= 1
        if depth < 0:
            return False
    return depth == 0","def var1(brackets: str):
    var2 = 0
    for var3 in var4:
        if var3 == '<':
            var2 += 1
        else:
            var2 -= 1
        if var2 < 0:
            return False
    return var2 == 0
","def concatenate_tuple(test_tup):
    delim = ""-""
    res = ''.join([str(ele) + delim for ele in test_tup])
    res = res[ : len(res) - len(delim)]
    return (str(res)) "
"def is_nonagonal(n): 
	return int(n * (7 * n - 5) / 2)","def var1(n):
    return int(var2 * (7 * var2 - 5) / 2)
","def sequential_search(dlist, item):
    pos = 0
    found = False
    while pos < len(dlist) and not found:
        if dlist[pos] == item:
            found = True
        else:
            pos = pos + 1
    return found, pos"
"def odd_num_sum(n) : 
    j = 0
    sm = 0
    for i in range(1,n + 1) : 
        j = (2*i-1) 
        sm = sm + (j*j*j*j)   
    return sm","def var1(n):
    var2 = 0
    var3 = 0
    for var4 in range(1, var5 + 1):
        var2 = 2 * var4 - 1
        var3 = var3 + var2 * var2 * var2 * var2
    return var3
","def recursive_list_sum(data_list):
	total = 0
	for element in data_list:
		if type(element) == type([]):
			total = total + recursive_list_sum(element)
		else:
			total = total + element
	return total"
"def even_odd_count(num):
    even_count = 0
    odd_count = 0
    for i in str(abs(num)):
        if int(i)%2==0:
            even_count +=1
        else:
            odd_count +=1
    return (even_count, odd_count)","def var1(num):
    var2 = 0
    var3 = 0
    for var4 in str(abs(var5)):
        if int(var4) % 2 == 0:
            var2 += 1
        else:
            var3 += 1
    return var2, var3
","def tuple_to_dict(test_tup):
  res = dict(test_tup[idx : idx + 2] for idx in range(0, len(test_tup), 2))
  return (res) "
"def generate_integers(a, b):
    lower = max(2, min(a, b))
    upper = min(8, max(a, b))

    return [i for i in range(lower, upper+1) if i % 2 == 0]","def var1(a, b):
    var2 = max(2, min(var3, var4))
    var5 = min(8, max(var3, var4))
    return [var6 for var6 in range(var2, var5 + 1) if var6 % 2 == 0]
","def move_num(test_str):
  res = ''
  dig = ''
  for ele in test_str:
    if ele.isdigit():
      dig += ele
    else:
      res += ele
  res += dig
  return (res) "
"import collections
def freq_count(list1):
  freq_count= collections.Counter(list1)
  return freq_count","import collections


def var1(list1):
    var1 = var2.Counter(var3)
    return var1
","def find_first_occurrence(A, x):
    (left, right) = (0, len(A) - 1)
    result = -1
    while left <= right:
        mid = (left + right) // 2
        if x == A[mid]:
            result = mid
            right = mid - 1
        elif x < A[mid]:
            right = mid - 1
        else:
            left = mid + 1
    return result"
"def overlapping(list1,list2):  
    for i in range(len(list1)): 
        for j in range(len(list2)): 
            if(list1[i]==list2[j]): 
                return True
    return False","def var1(list1, list2):
    for var2 in range(len(var3)):
        for var4 in range(len(var5)):
            if var3[var2] == var5[var4]:
                return True
    return False
","def find_solution(a, b, n):
	i = 0
	while i * a <= n:
		if (n - (i * a)) % b == 0: 
			return (i, (n - (i * a)) // b)
		i = i + 1
	return None"
"from itertools import groupby
def consecutive_duplicates(nums):
    return [key for key, group in groupby(nums)]","from itertools import groupby


def var1(nums):
    return [var2 for var2, var3 in var4(var5)]
","import re
def extract_quotation(text1):
  return (re.findall(r'""(.*?)""', text1))"
"def median_numbers(a,b,c):
 if a > b:
    if a < c:
        median = a
    elif b > c:
        median = b
    else:
        median = c
 else:
    if a > c:
        median = a
    elif b < c:
        median = b
    else:
        median = c
 return median","def var1(a, b, c):
    if var2 > var3:
        if var2 < var4:
            var5 = var2
        elif var3 > var4:
            var5 = var3
        else:
            var5 = var4
    elif var2 > var4:
        var5 = var2
    elif var3 < var4:
        var5 = var3
    else:
        var5 = var4
    return var5
","def digit_distance_nums(n1, n2):
         return sum(map(int,str(abs(n1-n2))))"
"import re  
regex = r'^[a-z]$|^([a-z]).*\1$'
def check_char(string): 
	if(re.search(regex, string)): 
		return ""Valid"" 
	else: 
		return ""Invalid""","import re
var1 = '^[a-z]$|^([a-z]).*\\1$'


def var2(string):
    if var3.search(var1, var4):
        return 'Valid'
    else:
        return 'Invalid'
","def frequency(a,x): 
    count = 0  
    for i in a: 
      if i == x: 
        count += 1

    return count "
"def get_pairs_count(arr, sum):
    count = 0  
    for i in range(len(arr)):
        for j in range(i + 1,len(arr)):
            if arr[i] + arr[j] == sum:
                count += 1
    return count","def var1(arr, sum):
    var2 = 0
    for var3 in range(len(var4)):
        for var5 in range(var3 + 1, len(var4)):
            if var4[var3] + var4[var5] == sum:
                var2 += 1
    return var2
","def smallest_num(xs):
  return min(xs)
"
"def multiply_num(numbers):  
    total = 1
    for x in numbers:
        total *= x  
    return total/len(numbers)","def var1(numbers):
    var2 = 1
    for var3 in var4:
        var2 *= var3
    return var2 / len(var4)
","
def search(lst):
    frq = [0] * (max(lst) + 1)
    for i in lst:
        frq[i] += 1;

    ans = -1
    for i in range(1, len(frq)):
        if frq[i] >= i:
            ans = i
    
    return ans"
"def divisor(n):
  for i in range(n):
    x = len([i for i in range(1,n+1) if not n % i])
  return x","def var1(n):
    for var2 in range(var3):
        var4 = len([var2 for var2 in range(1, var3 + 1) if not var3 % var2])
    return var4
","def adjac(ele, sub = []): 
  if not ele: 
     yield sub 
  else: 
     yield from [idx for j in range(ele[0] - 1, ele[0] + 2) 
                for idx in adjac(ele[1:], sub + [j])] 
def get_coordinates(test_tup):
  return list(adjac(test_tup))"
"def count_reverse_pairs(test_list):
  res = sum([1 for idx in range(0, len(test_list)) for idxn in range(idx, len( 
	test_list)) if test_list[idxn] == str(''.join(list(reversed(test_list[idx]))))]) 
  return res","def var1(test_list):
    var2 = sum([(1) for var3 in range(0, len(var4)) for var5 in range(var3,
        len(var4)) if var4[var5] == str(''.join(list(reversed(var4[var3]))))])
    return var2
","
def greatest_common_divisor(a: int, b: int) -> int:
    while b:
        a, b = b, a % b
    return a"
"def match_parens(lst):
    def check(s):
        val = 0
        for i in s:
            if i == '(':
                val = val + 1
            else:
                val = val - 1
            if val < 0:
                return False
        return True if val == 0 else False

    S1 = lst[0] + lst[1]
    S2 = lst[1] + lst[0]
    return 'Yes' if check(S1) or check(S2) else 'No'","def var1(lst):

    def var2(s):
        var3 = 0
        for var4 in var5:
            if var4 == '(':
                var3 = var3 + 1
            else:
                var3 = var3 - 1
            if var3 < 0:
                return False
        return True if var3 == 0 else False
    var6 = var7[0] + var7[1]
    var8 = var7[1] + var7[0]
    return 'Yes' if var2(var6) or var2(var8) else 'No'
","def check_Consecutive(l): 
    return sorted(l) == list(range(min(l),max(l)+1)) "
"def rear_extract(test_list):
  res = [lis[-1] for lis in test_list]
  return (res)","def var1(test_list):
    var2 = [var3[-1] for var3 in var4]
    return var2
","def cal_sum(n): 
	a = 3
	b = 0
	c = 2
	if (n == 0): 
		return 3
	if (n == 1): 
		return 3
	if (n == 2): 
		return 5
	sum = 5
	while (n > 2): 
		d = a + b 
		sum = sum + d 
		a = b 
		b = c 
		c = d 
		n = n-1
	return sum"
"def remove_odd(str1):
 str2 = ''
 for i in range(1, len(str1) + 1):
    if(i % 2 == 0):
        str2 = str2 + str1[i - 1]
 return str2","def var1(str1):
    var2 = ''
    for var3 in range(1, len(var4) + 1):
        if var3 % 2 == 0:
            var2 = var2 + var4[var3 - 1]
    return var2
","def surfacearea_cube(l):
  surfacearea= 6*l*l
  return surfacearea"
"def pair_wise(l1):
    temp = []
    for i in range(len(l1) - 1):
        current_element, next_element = l1[i], l1[i + 1]
        x = (current_element, next_element)
        temp.append(x)
    return temp","def var1(l1):
    var2 = []
    for var3 in range(len(var4) - 1):
        var5, var6 = var4[var3], var4[var3 + 1]
        var7 = var5, var6
        var2.append(var7)
    return var2
","
def smallest_change(arr):
    ans = 0
    for i in range(len(arr) // 2):
        if arr[i] != arr[len(arr) - i - 1]:
            ans += 1
    return ans"
"def add_elements(arr, k):
    return sum(elem for elem in arr[:k] if len(str(elem)) <= 2)","def var1(arr, k):
    return sum(var2 for var2 in var3[:var4] if len(str(var2)) <= 2)
","def min_product_tuple(list1):
    result_min = min([abs(x * y) for x, y in list1] )
    return result_min"
"def even_ele(test_tuple, even_fnc): 
	res = tuple() 
	for ele in test_tuple: 
		if isinstance(ele, tuple): 
			res += (even_ele(ele, even_fnc), ) 
		elif even_fnc(ele): 
			res += (ele, ) 
	return res 
def extract_even(test_tuple):
  res = even_ele(test_tuple, lambda x: x % 2 == 0)
  return (res)","def var1(test_tuple, even_fnc):
    var2 = tuple()
    for var3 in var4:
        if isinstance(var3, tuple):
            var2 += var1(var3, var5),
        elif var5(var3):
            var2 += var3,
    return var2


def var6(test_tuple):
    var2 = var1(var4, lambda x: var7 % 2 == 0)
    return var2
","def count_char_position(str1): 
    count_chars = 0
    for i in range(len(str1)):
        if ((i == ord(str1[i]) - ord('A')) or 
            (i == ord(str1[i]) - ord('a'))): 
            count_chars += 1
    return count_chars "
"def check_monthnumber_number(monthnum3):
  return monthnum3==4 or monthnum3==6 or monthnum3==9 or monthnum3==11","def var1(monthnum3):
    return var2 == 4 or var2 == 6 or var2 == 9 or var2 == 11
","def find_sum(arr): 
    arr.sort() 
    sum = arr[0] 
    for i in range(len(arr)-1): 
        if (arr[i] != arr[i+1]): 
            sum = sum + arr[i+1]   
    return sum"
"def compare_one(a, b):
    temp_a, temp_b = a, b
    if isinstance(temp_a, str): temp_a = temp_a.replace(',','.')
    if isinstance(temp_b, str): temp_b = temp_b.replace(',','.')
    if float(temp_a) == float(temp_b): return None
    return a if float(temp_a) > float(temp_b) else b","def var1(a, b):
    var2, var3 = var4, var5
    if isinstance(var2, str):
        var2 = var2.replace(',', '.')
    if isinstance(var3, str):
        var3 = var3.replace(',', '.')
    if float(var2) == float(var3):
        return None
    return var4 if float(var2) > float(var3) else var5
","def dog_age(h_age):
 if h_age < 0:
 	exit()
 elif h_age <= 2:
	 d_age = h_age * 10.5
 else:
	 d_age = 21 + (h_age - 2)*4
 return d_age"
"def is_upper(string):
  return (string.upper())","def var1(string):
    return var2.upper()
","def count_Pairs(arr,n): 
    cnt = 0; 
    for i in range(n): 
        for j in range(i + 1,n): 
            if (arr[i] != arr[j]): 
                cnt += 1; 
    return cnt; "
"def sum_squares(lst):
    import math
    squared = 0
    for i in lst:
        squared += math.ceil(i)**2
    return squared","def var1(lst):
    import math
    var2 = 0
    for var3 in var4:
        var2 += var5.ceil(var3) ** 2
    return var2
","import re
def extract_quotation(text1):
  return (re.findall(r'""(.*?)""', text1))"
"def closest_integer(value):
    from math import floor, ceil

    if value.count('.') == 1:
        # remove trailing zeros
        while (value[-1] == '0'):
            value = value[:-1]

    num = float(value)
    if value[-2:] == '.5':
        if num > 0:
            res = ceil(num)
        else:
            res = floor(num)
    elif len(value) > 0:
        res = int(round(num))
    else:
        res = 0

    return res","def var1(value):
    from math import floor, ceil
    if var2.count('.') == 1:
        while var2[-1] == '0':
            var2 = var2[:-1]
    var3 = float(var2)
    if var2[-2:] == '.5':
        if var3 > 0:
            var4 = var5(var3)
        else:
            var4 = var6(var3)
    elif len(var2) > 0:
        var4 = int(round(var3))
    else:
        var4 = 0
    return var4
","
def median(l: list):
    l = sorted(l)
    if len(l) % 2 == 1:
        return l[len(l) // 2]
    else:
        return (l[len(l) // 2 - 1] + l[len(l) // 2]) / 2.0"
